latitude,longitude,name
31.0511413,-104.2936142,fiftymilemex
31.0594408,-104.2926621,fiftymilemex
31.0453416,-104.2919506,fiftymilemex
31.0543411,-104.2904941,fiftymilemex
31.0569410,-104.2903778,fiftymilemex
31.0359421,-104.2888096,fiftymilemex
31.0284425,-104.2885566,fiftymilemex
31.0308424,-104.2873415,fiftymilemex
31.0366421,-104.2871052,fiftymilemex
31.0425417,-104.2846682,fiftymilemex
31.0316423,-104.2843365,fiftymilemex
31.0408418,-104.2834788,fiftymilemex
31.0234428,-104.2828879,fiftymilemex
31.0268426,-104.2820666,fiftymilemex
31.0213429,-104.2805011,fiftymilemex
31.0058437,-104.2771982,fiftymilemex
31.0164432,-104.2768318,fiftymilemex
31.0238428,-104.2764854,fiftymilemex
31.0127434,-104.2756550,fiftymilemex
31.0210429,-104.2751030,fiftymilemex
30.9903446,-104.2748952,fiftymilemex
30.9945443,-104.2736689,fiftymilemex
30.9680458,-104.2730347,fiftymilemex
30.9893446,-104.2728015,fiftymilemex
30.9843449,-104.2727327,fiftymilemex
30.9520466,-104.2719346,fiftymilemex
30.9957443,-104.2703614,fiftymilemex
31.0044438,-104.2695069,fiftymilemex
30.9782452,-104.2694709,fiftymilemex
30.9607462,-104.2680803,fiftymilemex
30.9367475,-104.2649301,fiftymilemex
30.9501468,-104.2641465,fiftymilemex
30.9422472,-104.2627958,fiftymilemex
30.9007494,-104.2628546,fiftymilemex
30.9347476,-104.2605426,fiftymilemex
30.9200484,-104.2605343,fiftymilemex
30.9313478,-104.2593638,fiftymilemex
30.9091490,-104.2587023,fiftymilemex
30.9237482,-104.2570112,fiftymilemex
30.9293479,-104.2529763,fiftymilemex
30.9258481,-104.2514981,fiftymilemex
30.8842503,-104.2410573,fiftymilemex
30.8833504,-104.2343629,fiftymilemex
30.8621515,-104.2263948,fiftymilemex
30.8576518,-104.2241228,fiftymilemex
30.8806505,-104.2233797,fiftymilemex
30.8783506,-104.2231941,fiftymilemex
30.8854503,-104.2203499,fiftymilemex
30.8764507,-104.2203059,fiftymilemex
30.8638514,-104.2183842,fiftymilemex
30.8707511,-104.2175413,fiftymilemex
30.8770507,-104.2155021,fiftymilemex
30.8520521,-104.2154576,fiftymilemex
30.8430526,-104.2153135,fiftymilemex
30.8721510,-104.2150326,fiftymilemex
30.8488522,-104.2143775,fiftymilemex
30.8433525,-104.2106116,fiftymilemex
30.8408527,-104.2020272,fiftymilemex
30.8361529,-104.1958564,fiftymilemex
30.8278534,-104.1921079,fiftymilemex
30.8267534,-104.1874147,fiftymilemex
30.8136541,-104.1831960,fiftymilemex
30.8206538,-104.1812526,fiftymilemex
30.8132542,-104.1769985,fiftymilemex
30.8140541,-104.1710935,fiftymilemex
30.8154540,-104.1709848,fiftymilemex
30.7849557,-104.1675739,fiftymilemex
30.8117542,-104.1662078,fiftymilemex
30.7826558,-104.1649881,fiftymilemex
30.7846557,-104.1648757,fiftymilemex
30.7888555,-104.1641497,fiftymilemex
30.7817559,-104.1621937,fiftymilemex
30.7741563,-104.1563407,fiftymilemex
30.7841557,-104.1559788,fiftymilemex
30.7819559,-104.1553924,fiftymilemex
30.7710564,-104.1537599,fiftymilemex
30.7836558,-104.1534819,fiftymilemex
30.7785560,-104.1534135,fiftymilemex
30.7700565,-104.1455661,fiftymilemex
30.7716564,-104.1416562,fiftymilemex
30.7662567,-104.1414896,fiftymilemex
30.7715564,-104.1382568,fiftymilemex
30.7642568,-104.1300020,fiftymilemex
30.7609570,-104.1290224,fiftymilemex
30.7566572,-104.1238490,fiftymilemex
30.7498576,-104.1195911,fiftymilemex
30.7335585,-104.1156918,fiftymilemex
30.7405581,-104.1114485,fiftymilemex
30.5609678,-104.1123534,fiftymilemex
30.5692673,-104.1110025,fiftymilemex
30.7182593,-104.1095863,fiftymilemex
30.5748670,-104.1097682,fiftymilemex
30.5661675,-104.1097215,fiftymilemex
30.5330693,-104.1092241,fiftymilemex
30.7225591,-104.1075597,fiftymilemex
30.5706672,-104.1077940,fiftymilemex
30.5435687,-104.1076599,fiftymilemex
30.7155594,-104.1054029,fiftymilemex
30.7090598,-104.1042430,fiftymilemex
30.5755670,-104.1049639,fiftymilemex
30.6457632,-104.1025330,fiftymilemex
30.7018602,-104.1016874,fiftymilemex
30.5497684,-104.1025220,fiftymilemex
30.7074599,-104.1014529,fiftymilemex
30.6345638,-104.1009018,fiftymilemex
30.6286641,-104.1007381,fiftymilemex
30.6426634,-104.1005520,fiftymilemex
30.5029709,-104.1010081,fiftymilemex
30.5790668,-104.1002425,fiftymilemex
30.5135703,-104.1005433,fiftymilemex
30.6120650,-104.0997400,fiftymilemex
30.6271642,-104.0993473,fiftymilemex
30.6326639,-104.0992135,fiftymilemex
30.4863718,-104.1000094,fiftymilemex
30.5179701,-104.0995164,fiftymilemex
30.5851665,-104.0987051,fiftymilemex
30.5119704,-104.0989531,fiftymilemex
